2026-05-07 08:46:27.150 SNAPSHOT inicial: 159 plugins habilitados
2026-05-07 08:46:27.265 PRESENT  id=com.intellij version=253.30387.90
2026-05-07 08:46:27.288 PRESENT  id=com.intellij.notebooks.core version=253.30387.193
2026-05-07 08:46:27.313 PRESENT  id=com.intellij.debugger.collections.visualizer version=253.30387.90
2026-05-07 08:46:27.337 PRESENT  id=org.jetbrains.plugins.yaml version=253.30387.90
2026-05-07 08:46:27.361 PRESENT  id=com.intellij.database version=253.30387.90
2026-05-07 08:46:27.387 PRESENT  id=JavaScript version=253.30387.90
2026-05-07 08:46:27.412 PRESENT  id=com.intellij.dev version=253.30387.90
2026-05-07 08:46:27.436 PRESENT  id=com.android.tools.gradle.dcl version=253.30387.90
2026-05-07 08:46:27.461 PRESENT  id=com.intellij.java version=253.30387.90
2026-05-07 08:46:27.463 PRESENT  id=com.jetbrains.sh version=253.30387.90
2026-05-07 08:46:27.466 PRESENT  id=org.intellij.qodana version=253.30387.90
2026-05-07 08:46:27.468 PRESENT  id=org.jetbrains.completion.full.line version=253.30387.90
2026-05-07 08:46:27.470 PRESENT  id=hg4idea version=253.30387.90
2026-05-07 08:46:27.471 PRESENT  id=com.intellij.ja version=253.30387.90
2026-05-07 08:46:27.473 PRESENT  id=org.editorconfig.editorconfigjetbrains version=253.30387.90
2026-05-07 08:46:27.475 PRESENT  id=com.intellij.zh version=253.30387.90
2026-05-07 08:46:27.477 PRESENT  id=training version=253.30387.90
2026-05-07 08:46:27.478 PRESENT  id=com.intellij.css version=253.30387.90
2026-05-07 08:46:27.480 PRESENT  id=JavaScriptDebugger version=253.30387.90
2026-05-07 08:46:27.481 PRESENT  id=org.toml.lang version=253.30387.90
2026-05-07 08:46:27.484 PRESENT  id=com.jetbrains.performancePlugin version=253.30387.90
2026-05-07 08:46:27.486 PRESENT  id=idea.plugin.protoeditor version=253.30387.90
2026-05-07 08:46:27.487 PRESENT  id=com.intellij.ko version=253.30387.90
2026-05-07 08:46:27.489 PRESENT  id=Subversion version=253.30387.193
2026-05-07 08:46:27.491 PRESENT  id=com.specktro.darktheme version=1.2
2026-05-07 08:46:27.492 PRESENT  id=org.jetbrains.idea.reposearch version=253.30387.90
2026-05-07 08:46:27.494 PRESENT  id=org.jetbrains.plugins.textmate version=253.30387.90
2026-05-07 08:46:27.496 PRESENT  id=HtmlTools version=253.30387.90
2026-05-07 08:46:27.497 PRESENT  id=com.intellij.platform.images version=253.30387.90
2026-05-07 08:46:27.499 PRESENT  id=com.intellij.copyright version=253.30387.90
2026-05-07 08:46:27.500 PRESENT  id=org.jetbrains.debugger.streams version=253.30387.90
2026-05-07 08:46:27.503 PRESENT  id=ByteCodeViewer version=253.30387.90
2026-05-07 08:46:27.504 PRESENT  id=com.intellij.java.ide version=253.30387.90
2026-05-07 08:46:27.506 PRESENT  id=com.intellij.kubernetes version=253.30387.90
2026-05-07 08:46:27.508 PRESENT  id=com.intellij.modules.json version=253.30387.90
2026-05-07 08:46:27.510 PRESENT  id=com.intellij.searcheverywhere.ml version=253.30387.90
2026-05-07 08:46:27.511 PRESENT  id=com.intellij.findusages.ml version=253.30387.90
2026-05-07 08:46:27.513 PRESENT  id=com.intellij.jsonpath version=253.30387.90
2026-05-07 08:46:27.515 PRESENT  id=com.intellij.configurationScript version=253.30387.90
2026-05-07 08:46:27.517 PRESENT  id=com.intellij.code.provenance version=253.30387.90
2026-05-07 08:46:27.518 PRESENT  id=com.intellij.modules.ultimate version=253.30387.90
2026-05-07 08:46:27.520 PRESENT  id=com.intellij.aop version=253.30387.90
2026-05-07 08:46:27.521 PRESENT  id=org.jetbrains.plugins.less version=253.30387.90
2026-05-07 08:46:27.523 PRESENT  id=org.intellij.plugins.postcss version=253.30387.90
2026-05-07 08:46:27.578 PRESENT  id=org.jetbrains.plugins.sass version=253.30387.90
2026-05-07 08:46:27.585 PRESENT  id=com.intellij.diagram version=253.30387.90
2026-05-07 08:46:27.586 PRESENT  id=org.jetbrains.plugins.javaFX version=253.30387.90
2026-05-07 08:46:27.588 PRESENT  id=com.jetbrains.plugins.webDeployment version=253.30387.90
2026-05-07 08:46:27.590 PRESENT  id=com.intellij.cron version=253.30387.90
2026-05-07 08:46:27.593 PRESENT  id=com.intellij.javaee version=253.30387.90
2026-05-07 08:46:27.595 PRESENT  id=Refactor-X version=253.30387.90
2026-05-07 08:46:27.597 PRESENT  id=intellij.git.commit.modal version=253.30387.90
2026-05-07 08:46:27.603 PRESENT  id=org.intellij.plugins.markdown version=253.30387.90
2026-05-07 08:46:27.608 PRESENT  id=com.intellij.spring version=253.30387.173
2026-05-07 08:46:27.610 PRESENT  id=org.jetbrains.plugins.wsl.remoteSdk version=253.30387.90
2026-05-07 08:46:27.612 PRESENT  id=Lombook Plugin version=253.30387.90
2026-05-07 08:46:27.614 PRESENT  id=org.jetbrains.java.decompiler version=253.30387.90
2026-05-07 08:46:27.615 PRESENT  id=org.jetbrains.idea.eclipse version=253.30387.90
2026-05-07 08:46:27.617 PRESENT  id=TestNG-J version=253.30387.90
2026-05-07 08:46:27.619 PRESENT  id=org.jetbrains.plugins.terminal version=253.30387.92
2026-05-07 08:46:27.620 PRESENT  id=com.intellij.LineProfiler version=253.30387.90
2026-05-07 08:46:27.623 PRESENT  id=com.intellij.properties version=253.30387.90
2026-05-07 08:46:27.625 PRESENT  id=com.intellij.freemarker version=253.30387.90
2026-05-07 08:46:27.629 PRESENT  id=com.intellij.velocity version=253.30387.90
2026-05-07 08:46:27.631 PRESENT  id=com.intellij.spring.boot.initializr version=253.30387.90
2026-05-07 08:46:27.633 PRESENT  id=com.intellij.microservices.jvm version=253.30387.90
2026-05-07 08:46:27.635 PRESENT  id=com.intellij.jpa.jpb.model version=253.30387.90
2026-05-07 08:46:27.637 PRESENT  id=JUnit version=253.30387.90
2026-05-07 08:46:27.639 PRESENT  id=Coverage version=253.30387.90
2026-05-07 08:46:27.641 PRESENT  id=org.intellij.groovy version=253.30387.90
2026-05-07 08:46:27.643 PRESENT  id=com.intellij.java-i18n version=253.30387.90
2026-05-07 08:46:27.644 PRESENT  id=com.intellij.cdi version=253.30387.90
2026-05-07 08:46:27.645 PRESENT  id=com.intellij.thymeleaf version=253.30387.90
2026-05-07 08:46:27.647 PRESENT  id=com.intellij.javaee.extensions version=253.30387.90
